lifeexpectancy,polityscore,employrate,urbanrate,suicideper100th,hivrate,demoscorecat,politycat
80.17,10,59.29999924,89.94,6.014659,0.2,3,1
78.531,10,62.29999924,81.7,9.927033,0.6,3,1
77.005,10,57.5,92.3,14.53727,0.5,3,1
68.287,-9,57.5,36.82,5.21372,0.1,0,0
71.017,6,58.69999886,24.76,4.983421803,0.4,3,1
74.402,-3,59.90000153,93.32,4.11962,0.4,1,0
75.181,-7,71,27.84,11.65332222,0.4,0,0
72.832,6,32,71.9,8.262892723,0.4,3,1
65.493,-2,39,30.64,6.265789032,0.4,1,0
49.025,7,61,35.42,12.01903629,13.5,3,1
51.384,1,66.80000305,37.34,13.90526676,14.3,2,1
