lifeexpectancy,polityscore,employrate,urbanrate,suicideper100th,hivrate
74.788,-7.0,48.5999984741211,77.54,4.66702461242676,
,,,14.32,,
72.231,10.0,53.0999984741211,66.96,33.34186,0.1
79.963,,53.5,82.44,12.4059181213379,0.3
80.934,,63.5999984741211,100.0,,
74.847,9.0,34.9000015258789,66.9,7.87687826156616,
66.718,0.0,83.0,29.52,5.76740646362305,0.2
54.21,6.0,71.8000030517578,18.8,10.1717348098755,11.0
74.221,6.0,60.5,70.36,8.21106719970703,0.5
76.848,,56.9000015258789,37.86,22.353479385376,0.06
51.444,7.0,45.7000007629394,32.18,8.2628927230835,1.0
79.634,,46.7999992370606,94.26,4.5511212348938,0.1
,,,71.08,7.20238351821899,
80.499,,42.5,,,
58.582,-2.0,46.9000015258789,41.0,6.88295221328735,0.7
73.373,10.0,54.5,42.48,8.08154,1.0
76.954,8.0,57.9000015258789,77.2,4.288574,0.3
68.978,,,22.54,4.76226997375488,
69.317,8.0,44.2999992370606,41.76,15.53849,0.4
,,,100.0,11.1510725021362,
68.498,10.0,52.0999984741211,57.18,13.0896158218384,0.06
74.573,9.0,,60.18,,
72.15,-6.0,46.2000007629394,56.02,2.10941362380981,0.1
50.239,5.0,77.0,36.84,10.5503749847412,11.5
65.193,-6.0,74.6999969482422,32.58,10.1149969100952,0.6
62.465,6.0,42.0,36.84,8.02196979522705,13.1
,,,,4.07952547073364,
68.795,6.0,61.7999992370606,17.24,11.6552095413208,0.4
80.734,10.0,61.2999992370606,81.82,8.164005,0.2
76.652,,53.5,92.68,,
76.521,,,64.78,,
80.654,10.0,65.0,86.56,12.17976,0.1
74.044,9.0,58.7999992370606,56.74,12.1222686767578,0.2
54.675,-3.0,60.4000015258789,16.54,9.2579755783081,0.8
51.879,4.0,50.9000015258789,48.36,7.63104963302612,3.6
,,,,4.21707630157471,
81.097,10.0,65.0,77.48,10.823,0.1
72.974,-8.0,50.7000007629394,71.62,3.71673941612244,0.1
65.437,5.0,51.0,36.16,12.8698148727417,0.1
,,,80.46,5.55427646636963,
76.128,9.0,59.7999992370606,73.2,6.1052818998346,0.9
62.791,4.0,70.4000015258789,12.54,11.9569406509399,0.9
72.477,8.0,73.0999984741211,60.3,4.409532,0.3
73.99,9.0,68.3000030517578,71.4,1.65890777111053,0.4
68.749,8.0,61.0,64.92,1.92248511314392,0.06
76.126,10.0,48.7000007629394,61.32,13.63706,0.1
79.499,10.0,57.5999984741211,59.46,8.18837547302246,0.6
79.158,,42.4000015258789,98.32,,
78.371,-10.0,76.0,95.64,2.5157208442688,0.06
77.653,,44.2000007629394,,,
73.979,9.0,49.5,54.24,10.05932,0.1
68.823,4.0,58.7999992370606,72.84,27.87416,1.0
55.442,-3.0,79.8000030517578,18.34,13.1179485321045,2.9
,,,32.32,,
74.641,,,27.84,8.21094799041748,
72.283,,,47.04,9.59302711486816,
72.444,,,23.0,5.54232358932495,
,,,94.22,6.08767080307007,
64.666,,,60.56,10.4931497573853,
73.911,-10.0,51.2000007629394,82.42,6.40153789520264,
59.318,7.0,65.5999984741211,42.38,6.81143856048584,0.9
74.522,8.0,,52.04,13.71634,0.1
,,48.7000007629394,,14.4696483612061,
,,,54.34,9.50792789459228,
47.794,7.0,63.7999992370606,37.76,11.9804973602295,1.6
81.126,-2.0,62.4000015258789,100.0,9.127511,0.1
75.446,10.0,53.4000015258789,56.56,10.64574,0.06
79.341,10.0,55.9000015258789,48.6,19.42261,0.06
67.852,8.0,65.0,17.96,4.4847526550293,
51.219,0.0,66.0,36.52,29.864164352417,0.7
52.797,9.0,41.0999984741211,60.74,15.7145709991455,17.8
81.404,10.0,52.5,77.12,5.888479,0.4
74.941,6.0,55.0999984741211,15.1,28.1040458679199,0.06
61.452,-4.0,47.2999992370606,43.44,9.70955562591553,1.1
70.563,,44.7000007629394,74.92,20.7474308013916,1.0
48.718,-9.0,50.9000015258789,24.94,12.8722219467163,25.9
81.439,10.0,60.7000007629394,84.54,11.11583,0.1
82.338,10.0,64.3000030517578,73.48,13.23981,0.4
75.85,-7.0,44.7999992370606,54.22,0.52352756261826,
,10.0,54.5,,,
67.529,-3.0,54.5999984741211,26.46,2.64898085594177,0.2
58.199,-1.0,78.1999969482422,25.52,12.4111814498901,5.6
74.126,4.0,72.0,33.32,9.84745979309082,1.3
62.475,7.0,67.3000030517578,27.3,9.6331148147583,
57.062,-4.0,63.9000015258789,42.0,6.3698878288269,3.2
72.317,,,24.78,4.52785158157349,
70.124,10.0,61.5,13.22,14.5471668243408,1.5
74.515,-4.0,41.5999984741211,66.5,3.1468141078949,0.06
73.979,7.0,42.7999992370606,68.68,3.56332468986511,0.06
64.986,-9.0,58.5,48.62,12.2167692184448,
,,,,7.93481159210205,
54.116,-1.0,83.1999969482422,12.98,12.2891216278076,6.5
68.494,7.0,54.4000015258789,67.98,18.95457,1.1
76.546,-8.0,75.1999969482422,77.88,1.39295065402985,
80.17,10.0,59.2999992370606,89.94,6.014659,0.2
78.531,10.0,62.2999992370606,81.7,9.927033,0.6
77.005,10.0,57.5,92.3,14.53727,0.5
68.287,-9.0,57.5,36.82,5.21372,0.1
71.017,,,24.76,4.98342180252075,
74.402,-3.0,59.9000015258789,93.32,4.11962,
75.181,-7.0,71.0,27.84,11.6533222198486,0.4
72.832,,32.0,71.9,,
65.493,-2.0,39.0,30.64,6.26578903198242,
49.025,7.0,61.0,35.42,12.0190362930298,13.5
51.384,1.0,66.8000030517578,37.34,13.9052667617798,14.3
