country,incomeperperson,alcconsumption,armedforcesrate,breastcancerper100th,co2emissions,femaleemployrate,hivrate,internetuserate,lifeexpectancy,oilperperson,polityscore,relectricperperson,suicideper100th,employrate,urbanrate
Bolivia,1232.79,5.78,1.88,24.70,254939666.67,61.60,0.20,20.00,66.62, ,7,213.06,2.03,70.40,65.58
Bosnia and Herzegovina,2183.34,9.60,0.46,58.90,236419333.33,34.90, ,52.00,75.67, , ,927.12,11.84,41.20,47.44
Botswana,4189.44,6.97,1.13,33.40,78943333.33,38.70,24.80,6.00,53.18, ,8,454.80,11.21,46.00,59.58
Brazil,4699.41,10.08,0.72,46.00,9580226333.33,53.30,0.45,40.65,73.49,0.60,8,498.17,4.78,64.50,85.58
Brunei,17092.46,1.86,4.68,20.60,254206333.33,55.50, ,49.99,78.01, , ,3067.50,1.37,63.80,74.82
Bulgaria,2549.56,11.40,2.04,46.20,3157700333.33,42.10,0.10,45.99,73.37,0.56,9,1380.87,9.22,47.30,71.10
Burkina Faso,276.20,7.32,0.16,30.60,20628666.67,75.80,1.20,1.40,55.44, ,0, ,8.20,81.30,19.56
Burundi,115.31,9.65,1.16,19.50,8092333.33,83.30,3.30,2.10,50.41, ,6, ,14.68,83.20,10.40
Cambodia,557.95,4.71,2.54,21.50,45411666.67,73.40,0.50,1.26,63.13, ,2,51.58,4.96,78.90,21.56
Cameroon,713.64,7.90,0.31,29.70,125172666.67,49.00,5.30,4.00,51.61, ,-4,59.55,7.21,59.10,56.76
Canada,25575.35,10.20,0.34,84.30,24979045666.67,58.90,0.20,81.34,81.01,3.01,10,4772.37,10.10,63.50,80.40
Cape Verde,1959.84,4.98,0.48,28.10,5214000.00,43.60, ,30.00,74.16, , , ,5.63,55.90,59.62
Cayman Islands, , , , ,8968666.67, , ,66.00, , , , , , ,100.00
Central African Rep.,239.52,3.17,0.15,16.50,8338000.00,62.90,4.70,2.30,48.40, ,-1, ,13.55,71.30,38.58
Chad,275.88,4.39,0.84,16.50,7608333.33,66.30,3.40,1.70,49.55, ,-2, ,8.28,68.90,26.68
Chile,6334.11,8.81,1.34,43.90,1839471333.33,35.50,0.40,45.00,79.12,0.86,10,532.52,10.17,51.00,88.44
China,2425.47,5.56,0.37,18.70,101386215333.33,68.90,0.10,34.38,73.46,0.32,-7,331.38,16.91,72.80,43.10
Colombia,3233.42,6.59,2.22,30.30,2269806000.00,54.90,0.50,36.50,73.70,0.24,7,404.59,4.91,63.20,74.50
Comoros,336.37,0.28, ,19.50,2368666.67,59.30,0.10,5.10,61.06, ,9, ,4.75,68.00,28.08
"Congo, Dem. Rep.",103.78,3.39,0.63,10.30,169180000.00,50.40, ,0.72,48.40, ,5,30.71,14.71,66.20,33.96
"Congo, Rep.",1253.29,4.46,0.77,20.60,46306333.33,52.30,3.40,5.00,57.38, ,-4,56.37,9.87,64.20,61.34
Cook Islands, ,3.23, , ,1045000.00, , , , , , , ,4.37, , 
Costa Rica,5188.90,5.81,0.47,30.90,148470666.67,40.10,0.30,36.50,79.31, ,10,798.34,6.60,58.60,63.26
Cote d'Ivoire,591.07,6.47,0.23,26.00,228748666.67,38.10,3.40,2.60,55.38, ,0,70.39,20.32,59.90,48.78
Croatia,6338.49,15.00,1.10,62.10,310024000.00,39.40,0.06,60.12,76.64, ,9,1494.41,14.78,47.10,57.28
Cuba,4495.05,5.12,1.50,31.20,1286670000.00,43.70,0.10,15.90,79.14, ,-7,528.79,10.57,56.00,75.66
Cyprus,15313.86,8.84,2.45,67.20,183535000.00,51.30, ,53.02,79.59, ,10,2123.76,2.21,59.10,69.90
Czech Rep.,7381.31,16.47,0.52,58.40,1776016000.00,47.60,0.06,68.64,77.69,0.88,8,1438.78,12.37,56.00,73.50
Denmark,30532.28,12.02,1.01,88.70,3503877666.67,58.10,0.20,88.77,78.83,1.57,10,1884.30,8.97,63.10,86.68
Djibouti,895.32,1.87,3.45,19.50,14054333.33, ,2.50,6.50,57.94, ,2, ,4.99, ,87.30
Dominica,6147.78,8.68, , ,2401666.67, , ,47.28, , , , ,5.84, ,73.92
Dominican Rep.,4049.17,6.28,1.47,36.10,446365333.33,40.50,0.90,39.53,73.40, ,8,457.64,6.52,52.70,69.02
Ecuador,1728.02,9.43,1.02,23.50,692039333.33,45.50,0.40,29.00,75.63,0.73,5,314.83,8.50,59.70,65.58
Egypt,1975.55,0.32,3.29,24.20,3341129000.00,18.20,0.06,26.74,73.24,0.45,-3,536.76,1.80,42.40,42.72
El Salvador,2557.43,3.99,1.32,13.60,143586666.67,44.80,0.80,15.90,72.20, ,8,256.10,7.30,58.20,60.70
Equatorial Guinea,8654.54,6.12,0.40,16.50,26125000.00,39.60,5.00,6.00,51.09, ,-5, ,10.13,61.70,39.38
Eritrea,131.80,1.64,9.82,19.50,7315000.00,51.70,0.80,5.40,61.60, ,-7,20.29,8.91,64.90,20.72
Estonia,6238.54,17.24,1.00,47.70,277170666.67,52.10,1.20,74.16,74.83, ,9,1411.23,16.96,56.50,69.46
Ethiopia,220.89,4.10,0.36,24.70,119958666.67,73.00, ,0.75,59.27, ,1,15.06,10.07,80.70,17.00
Faeroe Islands, , , , ,21351000.00, , ,75.20, , , , , , ,41.42
Fiji,2230.68,2.76,1.18,31.20,35717000.00,36.80,0.10,14.83,69.25, ,-4, ,3.94,56.40,52.36
Finland,27110.73,13.10,1.18,84.70,2420300666.67,53.40,0.10,86.90,79.98,1.94,10,4036.95,16.23,57.20,63.30
France,22878.47,12.48,1.23,91.90,33341634333.33,45.60,0.40,77.50,81.54,1.33,9,2539.75,14.09,51.20,77.36
French Polynesia, , , ,34.20,19800000.00, , ,48.96,75.13, , , , , ,51.64
Gabon,4180.77,9.46,1.02,18.20,170804333.33,52.60,5.20,7.23,62.70, ,3,537.10,7.75,59.00,85.04
Gambia,354.60,3.58,0.13,6.40,7355333.33,65.70,2.00,9.20,58.49, ,-5, ,6.45,71.70,56.42
Georgia,1258.76,6.66,1.45,51.80,81191000.00,48.50,0.10,26.30,73.74, ,6,617.93,1.57,55.60,52.74
Germany,25306.19,12.14,0.58,79.80,41229554666.67,46.80,0.10,82.53,80.41,1.40,10,1693.89,9.21,53.50,73.64
Ghana,358.98,3.11,0.13,28.10,188268666.67,64.10,1.80,9.55,64.23, ,8,97.25,6.29,65.10,50.02
Gibraltar, , , , ,7388333.33, , ,65.00, , , ,0.00, , , 
Greece,13577.88,11.01,3.09,51.60,2712915333.33,37.80,0.10,44.57,79.92,1.63,10,1690.72,2.82,49.60,61.00
Greenland,20751.89, , , ,23635333.33, , ,63.85, , , , , , ,83.52
Grenada,5330.40,10.71, , ,4774000.00, , ,33.62,75.96, , , ,3.58, ,30.84
Guadeloupe, , , , ,45778333.33,38.30, , ,79.84, , , , ,43.10, 
Guam, , , ,50.40, , , , ,76.14, , , , , ,93.16
Guatemala,1860.75,7.10,0.66,25.90,242594000.00,44.00,0.80,10.50,71.17, ,8,187.32,2.23,62.70,48.58
Guinea,411.50,0.79,0.40,15.30,46684000.00,77.60,1.30,1.00,54.10, ,-1, ,7.44,81.50,34.44
Guinea-Bissau,161.32,3.90,0.93,28.10,7813666.67,49.90,2.50,2.45,48.13, ,6, ,7.56,65.90,29.84
Guyana,1200.65,8.70,0.88,29.50,69329333.33,41.80,1.20,29.88,69.93, ,6, ,35.75,58.90,28.38
Haiti,371.42,5.92,0.00,4.40,40857666.67,35.40,1.90,8.37,62.10, ,5,9.19,1.52,55.90,46.84
Honduras,1392.41,4.43,0.71,25.90,131703000.00,34.20,0.80,11.09,73.13, ,7,278.74,7.06,56.30,47.88
"Hong Kong, China",35536.07, , , ,1026813333.33,51.60, ,71.85,82.76,2.28, ,1468.64, ,59.00,100.00
Hungary,5634.00,16.12,0.87,63.00,4244009000.00,40.30,0.06,65.16,74.41,0.67,10,1154.18,20.16,47.30,67.50
Iceland,33945.31,7.38,0.07,90.00,92770333.33,69.60,0.30,95.64,81.80, , ,2826.04,11.43,73.60,92.26
India,786.70,2.69,0.57,19.10,30391317000.00,32.30,0.30,7.50,65.44,0.13,9,110.71,18.58,55.40,29.54
Indonesia,1143.83,0.56,0.52,26.10,6710201666.67,44.10,0.20,9.90,69.37,0.25,8,221.96,11.40,61.50,51.46
Iran,2161.55,1.03,2.03,17.10,9183548000.00,26.90,0.20,13.00,72.97,1.16,-7,753.21,6.02,47.80,68.46
Iraq,736.27,0.47,7.74,31.70,2421917666.67,12.40, ,2.47,69.04, ,0,0.00,17.03,37.40,66.60
Ireland,27595.09,14.92,0.45,74.90,1633778666.67,51.00,0.20,69.77,80.56,1.70,10,2051.80,10.37,59.90,61.34
Israel,22275.75,2.52,5.87,90.80,1561079666.67,46.40,0.20,65.39,81.62, ,10,2342.44,5.93,51.30,91.66
Italy,18982.27,9.72,1.73,74.40,19000454000.00,35.80,0.30,53.74,81.86,1.21,10,1176.39,4.93,46.40,68.08
Jamaica,3665.35,5.17,0.24,43.50,340090666.67,47.50,1.70,26.48,73.13, ,9,368.43,4.42,58.20,53.30
Japan,39309.48,7.79,0.36,32.70,46092214666.67,46.20,0.06,77.64,83.39,1.59,10,2257.57,18.95,57.30,66.48
Jordan,2534.00,0.65,5.91,33.00,377303666.67,13.00, ,38.88,73.40, ,-3,719.48,0.20,38.90,78.42
Kazakhstan,2481.72,11.10,0.96,38.70,2484925666.67,58.20,0.10,33.38,67.02,0.78,-6,484.10,25.40,63.70,57.94
Kenya,468.70,3.88,0.16,25.20,283583666.67,66.60,6.30,25.90,57.13, ,7,41.18,10.94,73.20,21.60
Kiribati,760.26,2.70, , ,1111000.00, , ,8.96, , , , , , ,43.84
"Korea, Dem. Rep.", , ,10.64,20.40,5896388666.67,56.00, , ,68.85, ,-9,0.00,4.74,64.60,62.68
"Korea, Rep.",16372.50,19.15,2.83,20.40,9666891666.67,48.00,0.06,82.52,80.64,2.09,8,1142.31,22.40,58.90,81.46
Kuwait, ,0.10,1.61,31.80,1712755000.00,42.00, ,38.26,74.58,6.47,-7,8362.57,1.50,65.70,98.36
Kyrgyzstan,372.73,4.72,0.84,23.00,87970666.67,48.80,0.30,19.58,67.71, ,1,428.31,9.88,58.90,36.28
Laos,554.88,6.99,4.30,10.90,21332666.67,78.10,0.20,7.00,67.48, ,-7, ,26.22,78.20,30.88
Latvia,5011.22,13.45,1.32,44.30,125755666.67,50.70,0.70,71.51,73.34, ,8,904.67,20.37,56.80,68.12
Lebanon,6746.61,2.30,5.41,52.50,428006333.33,22.30,0.10,31.00,72.64, ,7,913.85,5.84,46.00,86.96
Lesotho,495.73,5.56,0.22,13.10, ,49.80,23.60,3.86,48.20, ,8, ,7.86,56.30,25.46
Liberia,155.03,5.07,0.13,18.80,38991333.33,53.20,1.50,7.00,56.79, ,6, ,7.18,66.00,60.14
Libya,7885.47,0.10,3.31,23.40,1414031666.67,23.20, ,14.00,74.79, ,-7,846.01,4.67,48.60,77.54
Liechtenstein,81647.10, , , , , , ,80.00, , , , , , ,14.32
Lithuania,5332.24,16.30,1.49,38.50,226255333.33,48.80,0.10,62.81,72.23,0.81,10,758.86,33.34,53.10,66.96
Luxembourg,52301.59,12.84,0.73,82.50,592012666.67,45.90,0.30,90.08,79.96, , ,1566.11,12.41,53.50,82.44
"Macao, China",33923.31, , , ,38397333.33,57.50, ,56.76,80.93, , , , ,63.60,100.00
"Macedonia, FYR",2221.19,8.94,2.10,52.10,168883000.00,26.80, ,51.91,74.85, ,9, ,7.88,34.90,66.90
Madagascar,242.68,1.32,0.24,19.50,62777000.00,79.20,0.20,1.70,66.72, ,0, ,5.77,83.00,29.52
Malawi,184.14,1.44,0.11,10.50,28490000.00,69.00,11.00,2.26,54.21, ,6, ,10.17,71.80,18.80
Malaysia,5184.71,0.87,1.14,30.80,2670950333.33,43.10,0.50,56.30,74.22,0.89,6,767.97,8.21,60.50,70.36
Maldives,4038.86, , , ,8231666.67,42.10,0.06,28.29,76.85, , , ,22.35,56.90,37.86
Mali,269.89,0.99,0.33,18.20,17515666.67,34.40,1.00,2.70,51.44, ,7, ,8.26,45.70,32.18
Malta,11066.78,4.10,1.14,76.10,73784333.33,30.10,0.10,63.08,79.63, , ,1598.67,4.55,46.80,94.26
Marshall Islands,2437.28, , , ,1206333.33, , , , , , , ,7.20, ,71.08
Martinique, , , , ,56162333.33,38.20, , ,80.50, , , , ,42.50, 
Mauritania,609.13,0.11,1.55,28.10,56818666.67,45.30,0.70,3.00,58.58, ,-2, ,6.88,46.90,41.00
Mauritius,5182.14,3.53,0.35,31.60,59473333.33,36.30,1.00,28.73,73.37, ,10, ,8.08,54.50,42.48
Mexico,6105.28,8.55,0.61,26.40,13304503666.67,39.60,0.30,31.05,76.95,0.77,8,431.63,4.29,57.90,77.20
"Micronesia, Fed. Sts.",2146.36,5.25, , , , , ,20.01,68.98, , , ,4.76, ,22.54
Moldova,595.87,23.01,0.54,49.60,149904333.33,43.60,0.40,40.12,69.32, ,8,304.94,15.54,44.30,41.76
Monaco,105147.44, , , , , , , , , , , ,11.15, ,100.00
Mongolia,772.93,3.41,1.21,6.60,300934333.33,50.90,0.06,12.90,68.50, ,10,303.81,13.09,52.10,57.18
Montenegro,2222.34, , , , , , ,51.96,74.57, ,9, , , ,60.18
Morocco,1844.35,1.24,2.09,22.50,953051000.00,22.20,0.10,49.00,72.15, ,-6,209.09,2.11,46.20,56.02
Mozambique,389.76,2.27,0.10,3.90,107096000.00,82.20,11.50,4.17,50.24, ,5,31.39,10.55,77.00,36.84
Myanmar, ,0.58,1.91,20.20,322960000.00,66.50,0.60, ,65.19, ,-6,38.01,10.11,74.70,32.58
Namibia,2667.25,12.09,1.97,24.70,26209333.33,37.30,13.10,6.50,62.47, ,6,0.00,8.02,42.00,36.84
Nauru, ,4.81, , ,4814333.33, , , , , , , ,4.08, , 
Nepal,268.26,2.42,1.01,21.80,52657000.00,54.60,0.40,7.93,68.80, ,6,31.54,11.66,61.80,17.24
Netherlands,26551.84,9.75,0.53,86.70,9483023000.00,54.30,0.20,90.70,80.73,3.00,10,1490.06,8.16,61.30,81.82
Netherlands Antilles, , , , ,102538333.33,47.10, , ,76.65, , ,0.00, ,53.50,92.68
New Caledonia, , , , ,90269666.67, , , ,76.52, , , , , ,64.78
New Zealand,14778.16,9.99,0.39,91.90,1321661000.00,58.30,0.10,83.00,80.65,1.58,10,2993.09,12.18,65.00,86.56
Nicaragua,948.36,5.21,0.53,23.90,109681000.00,36.00,0.20,10.00,74.04, ,9,126.83,12.12,58.80,56.74
Niger,180.08,0.34,0.22,23.30,30800000.00,38.00,0.80,0.83,54.68, ,-3, ,9.26,60.40,16.54
Nigeria,544.60,12.72,0.33,31.20,2386820333.33,36.50,3.60,28.43,51.88, ,4,74.06,7.63,50.90,48.36
Niue, ,8.69, , ,132000.00, , , , , , , ,4.22, , 
Norway,39972.35,8.35,0.72,74.80,1962704333.33,60.90,0.10,93.28,81.10,2.19,10,7432.13,10.82,65.00,77.48
Oman,11191.81,0.92,4.47,13.20,487993000.00,22.60,0.10,61.99,72.97, ,-8,2124.61,3.72,50.70,71.62
Pakistan,668.55,0.05,1.65,50.10,2329308666.67,19.00,0.10,16.78,65.44,0.12,5,186.93,12.87,51.00,36.16
Palau,6243.57,9.86, , ,1723333.33, , , , , , , ,5.55, ,80.46
Panama,5900.62,7.30,0.75,29.00,170404666.67,43.40,0.90,42.75,76.13, ,9,500.29,6.11,59.80,73.20
Papua New Guinea,744.24,3.64,0.11,17.30,88337333.33,68.90,0.90,1.28,62.79, ,4, ,11.96,70.40,12.54
Paraguay,1621.18,7.91,0.89,34.40,95256333.33,65.30,0.30,19.80,72.48, ,8,528.65,4.41,73.10,60.30
Peru,3180.43,6.53,1.44,35.10,1146277000.00,59.80,0.40,34.30,73.99,0.29,9,239.39,1.66,68.30,71.40
Philippines,1383.40,6.08,0.39,46.60,2008116000.00,46.80,0.06,25.00,68.75,0.14,8,179.62,1.92,61.00,64.92
Poland,6575.75,14.43,0.81,50.30,23053598333.33,42.10,0.10,62.47,76.13,0.69,10,704.40,13.64,48.70,61.32
Portugal,11744.83,13.89,1.62,55.50,1865922666.67,50.60,0.60,51.28,79.50,1.18,10,1259.39,8.19,57.60,59.46
Puerto Rico,15822.11, , ,50.40, ,34.60, ,42.69,79.16, , , , ,42.40,98.32
Qatar,33931.83,1.29,1.33,33.30,811965000.00,39.60,0.06,81.59,78.37,4.21,-10,4759.45,2.52,76.00,95.64
Reunion, , , , ,55146666.67,37.90, , ,77.65, , , , ,44.20, 
Romania,2636.79,16.15,1.54,44.30,7104137333.33,43.80,0.10,40.02,73.98,0.42,9,467.57,10.06,49.50,54.24
Russia,2923.14,16.23,1.94,38.80,23404568000.00,53.80,1.00,43.37,68.82,1.03,4,825.94,27.87,58.80,72.84
Rwanda,338.27,9.99,0.73,8.80,20152000.00,80.50,2.90,13.00,55.44, ,-3, ,13.12,79.80,18.34
Saint Kitts and Nevis,9175.80,10.62, , ,2251333.33, , ,76.59, , , , , , ,32.32
Saint Lucia,5248.58,12.05, , ,7601000.00, , ,40.06,74.64, , , ,8.21, ,27.84
Saint Vincent and the Grenadines,4885.05,4.99, , ,3659333.33, , , ,72.28, , , ,9.59, ,47.04
Samoa,1784.07,4.51, ,34.20,4352333.33, , ,6.97,72.44, , , ,5.54, ,23.00
San Marino,31993.20, , , , , , , , , , , ,6.09, ,94.22
Sao Tome and Principe, ,8.45, , ,2335666.67, , ,18.80,64.67, , , ,10.49, ,60.56
Saudi Arabia,9425.33,0.34,2.62,24.70,7861553333.33,17.70, ,41.00,73.91,4.57,-10,3433.93,6.40,51.20,82.42
Senegal,561.71,0.51,0.36,18.40,127108666.67,56.90,0.90,16.00,59.32, ,7,55.79,6.81,65.60,42.38
Serbia,1194.71,12.21, , , , ,0.10,43.06,74.52, ,8,1387.98,13.72, ,52.04
Serbia and Montenegro, , , ,58.40, ,41.10, , , , , , ,14.47,48.70, 
Seychelles,8614.12,12.11, , ,9155666.67, , ,40.77, , , , ,9.51, ,54.34
Sierra Leone,268.33,9.48,0.52,28.10,29758666.67,63.40,1.60, ,47.79, ,7, ,11.98,63.80,37.76
Singapore,32535.83,1.54,6.39,48.70,1548044666.67,51.30,0.10,71.13,81.13,12.23,-2,1464.84,9.13,62.40,100.00
Slovak Republic,8445.53,13.31,0.63,48.00,590674333.33,45.30,0.06,79.89,75.45,0.68,10,830.70,10.65,53.40,56.56
Slovenia,12729.45,14.94,1.16,58.90,214368000.00,49.40,0.06,69.34,79.34, ,10,1585.17,19.42,55.90,48.60
Solomon Islands,1144.10,1.37, ,29.80,5210333.33,51.30, ,5.00,67.85, ,8, ,4.48,65.00,17.96
Somalia, ,0.50, ,19.50,16379000.00,50.70,0.70, ,51.22, ,0, ,29.86,66.00,36.52
South Africa,3745.65,10.16,0.33,35.00,14609848000.00,34.30,17.80,12.33,52.80,0.50,9,920.14,15.71,41.10,60.74
Spain,15461.76,11.83,0.98,50.90,10822529666.67,41.70,0.40,65.81,81.40,1.62,10,1779.50,5.89,52.50,77.12
Sri Lanka,1295.74,0.81,2.57,23.60,253854333.33,39.20,0.06,12.00,74.94, ,6,161.09,28.10,55.10,15.10
Sudan,523.95,2.56,0.97,22.50,225019666.67,27.90,1.10, ,61.45, ,-4,50.89,9.71,47.30,43.44
Suriname,2668.02,6.56,1.06,30.00,86317000.00,30.40,1.00,31.57,70.56, , , ,20.75,44.70,74.92
Swaziland,1810.23,5.05, ,12.30,22704000.00,47.10,25.90,9.01,48.72, ,-9, ,12.87,50.90,24.94
Sweden,32292.48,9.50,0.35,87.80,4286590000.00,56.70,0.10,90.02,81.44,1.55,10,4304.51,11.12,60.70,84.54
Switzerland,37662.75,11.41,0.52,81.70,2406741333.33,57.00,0.40,82.17,82.34,1.49,10,2361.03,13.24,64.30,73.48
Syria,1525.78,1.49,5.96,44.80,1436893333.33,16.70, ,20.66,75.85, ,-7,815.03,0.52,44.80,54.22
Taiwan, , , , ,5248815000.00,47.10, , , ,2.01,10,1831.73, ,54.50, 
Tajikistan,279.18,3.39,0.60,13.20,104170000.00,50.10,0.20,11.55,67.53, ,-3,405.78,2.65,54.60,26.46
Tanzania,456.39,7.86,0.13,21.10,100782000.00,76.10,5.60,11.00,58.20, ,-1,38.63,12.41,78.20,25.52
Thailand,2712.52,7.08,1.09,16.60,4200940333.33,65.00,1.30,21.20,74.13,0.73,4,439.59,9.85,72.00,33.32
Timor-Leste,369.57,0.74,0.23, ,850666.67,54.70, ,0.21,62.48, ,7, ,9.63,67.30,27.30
Togo,285.22,1.92,0.34,28.10,32233666.67,48.40,3.20,5.38,57.06, ,-4,66.24,6.37,63.90,42.00
Tonga,2025.28,3.92, , ,2907666.67, , ,12.01,72.32, , , ,4.53, ,24.78
Trinidad and Tobago,10480.82,6.16,0.58,51.10, ,50.50,1.50,48.52,70.12, ,10,2261.32,14.55,61.50,13.22
Tunisia,3164.93,1.05,1.27,19.60,525891666.67,21.40,0.06,36.56,74.52, ,-4,325.84,3.15,41.60,66.50
Turkey,5348.60,3.02,2.38,22.00,5675629666.67,21.90,0.06,39.82,73.98,0.39,7,550.70,3.56,42.80,68.68
Turkmenistan,2062.13,5.00,0.93,17.90,531303666.67,53.90, ,2.20,64.99,1.11,-9,351.17,12.22,58.50,48.62
Tuvalu,1714.94,2.14, , , , , ,25.00, , , , ,7.93, , 
Uganda,377.42,16.40,0.34,18.30,49793333.33,80.00,6.50,12.50,54.12, ,-1, ,12.29,83.20,12.98
Ukraine,1036.83,17.47,0.93,39.90,5584766000.00,49.40,1.10,44.59,68.49,0.26,7,673.58,18.95,54.40,67.98
United Arab Emirates,21087.39,0.52,1.81,24.10,2315698000.00,37.30, ,78.00,76.55,4.30,-8,11154.76,1.39,75.20,77.88
United Kingdom,28033.49,13.24,0.51,87.20,72524250333.33,53.10,0.20,84.73,80.17,1.19,10,1933.95,6.01,59.30,89.94
United States,37491.18,9.70,0.97,101.10,334220872333.33,56.00,0.60,74.25,78.53,2.74,10,4542.85,9.93,62.30,81.70
Uruguay,9106.33,8.99,1.58,83.10,275744333.33,46.00,0.50,47.87,77.01, ,10,823.82,14.54,57.50,92.30
Uzbekistan,952.83,3.61,0.71,17.30,1718339333.33,52.60,0.10,19.45,68.29,0.18,-9,261.43,5.21,57.50,36.82
Vanuatu,1543.96,0.96, ,24.00,2977333.33, , ,7.99,71.02, , , ,4.98, ,24.76
Venezuela,5528.36,7.60,0.90,34.30,5418886000.00,45.80, ,35.85,74.40,1.21,-3,969.00,4.12,59.90,93.32
Vietnam,722.81,3.91,1.09,16.20,1425435000.00,67.60,0.40,27.85,75.18, ,-7,302.73,11.65,71.00,27.84
West Bank and Gaza, , ,5.94, ,14241333.33,11.30, ,36.42,72.83, , , , ,32.00,71.90
"Yemen, Rep.",610.36,0.20,2.32,35.10,234864666.67,20.30, ,12.35,65.49, ,-2,130.06,6.27,39.00,30.64
Zambia,432.23,3.56,0.34,13.00,132025666.67,53.50,13.50,10.12,49.03, ,7,168.62,12.02,61.00,35.42
Zimbabwe,320.77,4.96,1.03,19.00,590219666.67,58.10,14.30,11.50,51.38, ,1,297.88,13.91,66.80,37.34
